Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Publisher,Language,Rights,Library Catalog,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags
ILDBXNK5,journalArticle,2024,"Jain, Rishabh; Barcovschi, Andrei; Yiwere, Mariam Yahayah; Corcoran, Peter; Cucu, Horia",Exploring Native and Non-Native English Child Speech Recognition With Whisper,IEEE Access,,2169-3536,10.1109/ACCESS.2024.3378738,https://ieeexplore.ieee.org/document/10474352/,"Modern end-to-end Automatic Speech Recognition (ASR) systems struggle to recognise children’s speech. This challenge is due to the high acoustic variability in children’s voices and the scarcity of child speech training data, particularly for accented or low-resource languages. This study focuses on improving the performance of ASR on native and non-native English child speech using publicly available datasets. We evaluate how the large-scale whisper models (trained with a large amount of adult speech data) perform with child speech. In addition, we perform finetuning experiments using different child speech datasets to investigate the performance of whisper ASR on non-native English-speaking children’s speech. Our findings indicate relative Word Error Rate (WER) improvements ranging from 29% to 89% over previous benchmarks on the same datasets. Notably, these gains were achieved by finetuning with only a 10% sample of unseen non-native datasets. These results demonstrate the potential of whisper for improving ASR in a low-resource scenario for non-native child speech.",2024,4/9/2024 4:37,5/29/2025 10:03,7/19/2024 22:11,41601-41610,,12,IEEE Access,,,https://creativecommons.org/licenses/by/4.0/legalcode,Semantic Scholar,,,C:\Users\damru\Zotero\storage\JY5VKIS8\Jain et al. - 2024 - Exploring Native and Non-Native English Child Spee.pdf,,,Data models; Training; Automatic speech recognition; Speech recognition; Adaptation models; Child automatic speech recognition; CMU_Kids; Decoding; large-scale supervision; MyST; non-native child speech; Pediatrics; PFSTAR; speechocean762; Testing; Transformers; whisper
XBY4IVWP,journalArticle,,,[PDF] Reducing Multilingual Context Confusion for End-to-end Code-switching Automatic Speech Recognition | Semantic Scholar,,,,,https://www.semanticscholar.org/paper/Reducing-Multilingual-Context-Confusion-for-Speech-Zhang-Yi/92ede035f77eead25c3ec8c84565cb98efb4ef99,"This work proposes a language-related attention mechanism to reduce multilingual context confusion for the E2E code-switching ASR model based on the Equivalence Constraint (EC) Theory, and efficiently transfers language knowledge from rich monolingual data to improve the performance of the code- Switched AsR model. Code-switching deals with alternative languages in communication process. Training end-to-end (E2E) automatic speech recognition (ASR) systems for code-switching is especially challenging as code-switching training data are always insufficient to combat the increased multilingual context confusion due to the presence of more than one language. We propose a language-related attention mechanism to reduce multilingual context confusion for the E2E code-switching ASR model based on the Equivalence Constraint (EC) Theory. The linguistic theory requires that any monolingual fragment that occurs in the code-switching sentence must occur in one of the monolingual sentences. The theory establishes a bridge between monolingual data and code-switching data. We leverage this linguistics theory to design the code-switching E2E ASR model. The proposed model efficiently transfers language knowledge from rich monolingual data to improve the performance of the code-switching ASR model. We evaluate our model on ASRU 2019 Mandarin-English code-switching challenge dataset. Compared to the baseline model, our proposed model achieves a 17.12% relative error reduction.",,7/19/2024 22:09,5/29/2025 12:58,7/19/2024 22:09,,,,,,en,,www.semanticscholar.org,,,,,,
DS83MICB,conferencePaper,2020,"Booth, Eric; Carns, Jake; Kennington, Casey; Rafla, Nader",Evaluating and improving child-directed automatic speech recognition,Proceedings of the Twelfth Language Resources and Evaluation Conference,,,,https://aclanthology.org/2020.lrec-1.778/,,2020,7/19/2024 18:48,5/29/2025 12:59,7/19/2024 18:48,6340–6345,,,,,,,Google Scholar,,,C:\Users\damru\Zotero\storage\9ASKWPLM\Booth et al. - 2020 - Evaluating and improving child-directed automatic .pdf; ,https://aclanthology.org/2020.lrec-1.778.pdf,,
UN656EGC,conferencePaper,2009,"Gerosa, Matteo; Giuliani, Diego; Narayanan, Shrikanth; Potamianos, Alexandros",A review of ASR technologies for children's speech,"Proceedings of the 2nd Workshop on Child, Computer and Interaction",978-1-60558-690-8,,10.1145/1640377.1640384,https://dl.acm.org/doi/10.1145/1640377.1640384,,11/5/2009,7/19/2024 18:48,5/29/2025 11:50,7/19/2024 18:48,8-Jan,,,,ACM,en,,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\UY9EMQXY\Gerosa et al. - 2009 - A review of ASR technologies for children's speech.pdf; ,https://sail.usc.edu/publications/files/gerosawocci2009.pdf,,
BEHRDBGX,journalArticle,2017,"Serizel, Romain; Giuliani, Diego",Deep-neural network approaches for speech recognition with heterogeneous groups of speakers including children,Natural Language Engineering,,,,https://www.cambridge.org/core/journals/natural-language-engineering/article/deepneural-network-approaches-for-speech-recognition-with-heterogeneous-groups-of-speakers-including-children/49315B363FEC168B838B820DB6D6AC9F,,2017,7/19/2024 18:48,5/29/2025 12:58,7/19/2024 18:48,325–350,3,23,,,,,Google Scholar,Publisher: Cambridge University Press,,C:\Users\damru\Zotero\storage\CY9SV85R\Serizel and Giuliani - 2017 - Deep-neural network approaches for speech recognit.pdf; ,https://inria.hal.science/hal-01390905/file/15-1.pdf,,
XMYXM2FX,conferencePaper,2022,"Lastow, Fredrik; Ekberg, Edwin; Nugues, Pierre",Language-agnostic age and gender classification of voice using self-supervised pre-training,2022 Swedish Artificial Intelligence Society Workshop (SAIS),,,,https://ieeexplore.ieee.org/abstract/document/9833071/,,2022,7/19/2024 18:48,5/29/2025 10:02,7/19/2024 18:48,1–9,,,,IEEE,,,Google Scholar,,,,,,
SH93GZC5,journalArticle,2009,"Gerosa, Matteo; Giuliani, Diego; Brugnara, Fabio",Towards age-independent acoustic modeling,Speech Communication,,,,https://www.sciencedirect.com/science/article/pii/S0167639309000089,,2009,7/19/2024 18:48,5/29/2025 11:50,7/19/2024 18:48,499–509,6,51,,,,,Google Scholar,Publisher: Elsevier,,C:\Users\damru\Zotero\storage\AFMVMYGH\Gerosa et al. - 2009 - Towards age-independent acoustic modeling.pdf; ,https://hal.science/hal-00524121/file/PEER_stage2_10.1016%252Fj.specom.2009.01.006.pdf,,
NSSW9YY4,journalArticle,1985,"MacWhinney, Brian; Snow, Catherine",The child language data exchange system,Journal of child language,,,,https://www.cambridge.org/core/journals/journal-of-child-language/article/child-language-data-exchange-system/914F419D804ECA0C726F0C08E7E3C094,,1985,7/19/2024 18:44,5/29/2025 12:59,7/19/2024 18:44,271–295,2,12,,,,,Google Scholar,Publisher: Cambridge University Press,,C:\Users\damru\Zotero\storage\IAW6LDG5\MacWhinney and Snow - 1985 - The child language data exchange system.pdf; ,https://www.academia.edu/download/78100178/The_child_language_data_exchange_system20220105-16984-1akuf6w.pdf,,
IVK9EDWW,journalArticle,2017,"Gilkerson, Jill; Richards, Jeffrey A.; Warren, Steven F.; Montgomery, Judith K.; Greenwood, Charles R.; Kimbrough Oller, D.; Hansen, John H. L.; Paul, Terrance D.",Mapping the Early Language Environment Using All-Day Recordings and Automated Analysis,American Journal of Speech-Language Pathology,,"1058-0360, 1558-9110",10.1044/2016_AJSLP-15-0169,http://pubs.asha.org/doi/10.1044/2016_AJSLP-15-0169,"Purpose               This research provided a first-generation standardization of automated language environment estimates, validated these estimates against standard language assessments, and extended on previous research reporting language behavior differences across socioeconomic groups.                                         Method               Typically developing children between 2 to 48 months of age completed monthly, daylong recordings in their natural language environments over a span of approximately 6–38 months. The resulting data set contained 3,213 12-hr recordings automatically analyzed by using the Language Environment Analysis (LENA) System to generate estimates of (a) the number of adult words in the child's environment, (b) the amount of caregiver–child interaction, and (c) the frequency of child vocal output.                                         Results               Child vocalization frequency and turn-taking increased with age, whereas adult word counts were age independent after early infancy. Child vocalization and conversational turn estimates predicted 7%–16% of the variance observed in child language assessment scores. Lower socioeconomic status (SES) children produced fewer vocalizations, engaged in fewer adult–child interactions, and were exposed to fewer daily adult words compared with their higher socioeconomic status peers, but within-group variability was high.                                         Conclusions               The results offer new insight into the landscape of the early language environment, with clinical implications for identification of children at-risk for impoverished language environments.",5/17/2017,7/19/2024 18:43,5/29/2025 11:50,7/19/2024 18:43,248-265,2,26,Am J Speech Lang Pathol,,en,,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\Z8R5ZRNV\2016_AJSLP-15-0169.html; ; C:\Users\damru\Zotero\storage\JJBRYWW5\Gilkerson et al. - 2017 - Mapping the Early Language Environment Using All-D.pdf; ,https://pubs.asha.org/doi/full/10.1044/2016_AJSLP-15-0169; https://europepmc.org/articles/pmc6195063?pdf=render,,
6P9669KR,journalArticle,2013,"McCabe, Allyssa; Bornstein, Marc H.; Guerra, Alison Wishard; Kuchirko, Yana; Páez, Mariela; Tamis‐LeMonda, Catherine S.; Cates, Carolyn Brockmeyer; Hirsh‐Pasek, Kathy; Melzi, Gigliana; Song, Lulu; Golinkoff, Roberta; Hoff, Erika; Mendelsohn, Alan",Multilingual Children: Beyond Myths and Toward Best Practices and commentaries,Social Policy Report,,"1075-7031, 2379-3988",10.1002/j.2379-3988.2013.tb00077.x,https://srcd.onlinelibrary.wiley.com/doi/10.1002/j.2379-3988.2013.tb00077.x,,2013-12,6/27/2024 4:34,5/29/2025 12:59,6/27/2024 4:34,Jan-37,4,27,Social Policy Report,,en,http://onlinelibrary.wiley.com/termsAndConditions#vor,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\QIG2ZZIQ\McCabe et al. - 2013 - Multilingual Children Beyond Myths and Toward Bes.pdf; ,https://files.eric.ed.gov/fulltext/ED595539.pdf,,
L49J7K2M,journalArticle,2022,"Singh, Leher; Cheng, QiQi; Tan, Seok Hui; Tan, Agnes; Low, Yen Ling",Language acquisition in a multilingual society: English vocabulary norms and predictors in Singaporean children,Child Development,,1467-8624,10.1111/cdev.13676,,"In this study, infant vocabulary development was tracked in a multilingual society (Singapore) within a socioeconomically diverse sample. The sample comprised 1316 infants from 17.4 to 27.7 months (669 females, 647 males; 88% Chinese race, 4% Malay, 4% Indian, and 0.004% mixed-race [4% declined to provide race information]). Children varied in English language exposure and socioeconomic status. Analyses focused on identifying demographic predictors of English vocabulary size in multilingually exposed infants. Adaptations of the Macarthur-Bates Communicative Development Inventory for English, Mandarin, and Malay are provided as well as English vocabulary norms that account for variation in English exposure. This manuscript reports the first set of English language norms-calibrated to English exposure-for multilingual infants in a non-Western setting.",2022-01,6/27/2024 4:02,5/29/2025 13:00,,288-305,1,93,Child Dev,,eng,,PubMed,PMID: 34672368,,,http://www.ncbi.nlm.nih.gov/pubmed/34672368,,Child; Child Language; Female; Humans; Infant; Language; Language Development; Language Tests; Male; Multilingualism; Vocabulary
K6WELIH9,bookSection,2023,"Amalika, S.; Putri, C. D. M.; Susanto, D.",Multilingual children's language use: The case of “the return of Superman” show,Reimagining Innovation in Education and Social Sciences,978-1-003-36668-3,,,,"This research has conducted descriptive qualitative method and Barron-Hauwaert's theory about multilingual children's language pattern usage, in order to investigate multilingual children's language use in the community through the influence of their closest environment represented in ‘The Return of Superman’ variety shows in Korea. The subject of the study is ‘Park Naeun’ as well as her multicultural family. The researchers would use the online documentation technique to collect data from selected videos on YouTube channels, as described in the three research questions. The results from the findings demonstrate that Park Naeun was capable of speaking using both the majority and minority languages as a multilingual child. The influence of parents’ language on the children's language is a signal that contributes to the success of the children's language-learning process. When parents can maintain their children's first language, they could also maintain their children's next language acquisition. This analysis revealed that Park Naeun changed their language use for many reasons: politeness, meaningful conversations, and similar perceptions.",2023,6/27/2024 3:52,5/29/2025 12:59,,,,,,Routledge,,,,Num Pages: 9,,C:\Users\damru\Zotero\storage\M5GWBCZG\Amalika et al. - 2023 - Multilingual children's language use The case of .pdf; ,https://s3-euw1-ap-pe-df-pch-content-store-p.s3.eu-west-1.amazonaws.com/9781003366683/772dc5da-5ce5-43c8-a9c8-02eecb8772f8/chapters/chapter14.pdf?AWSAccessKeyId=ASIAQFVOSJ57QWPA6M4X&Expires=1719460374&Signature=ErjlLmWDTwDrqx7CsBk15MZx0C4%3D&response-content-disposition=attachment%3B%20filename%3D%229781003366683_chapterpdf.pdf%22&x-amz-security-token=IQoJb3JpZ2luX2VjEDkaCXVzLWVhc3QtMSJGMEQCIG%2BbavPhgwvcZS9Vaq%2B4LMT0bXJCVn7KlaZ3YHZDu0fVAiAVS25cqVJVIwrtHFI2zrd01TKgQFbaFuaFtgRpoWQ1jyqWBAji%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAQaDDAxMjE3NzI2NDUxMSIMUVdhIOPbYtEayuJWKuoDDwBUl7tV5GSTJnMZfPWxSm2hZLoKvi%2FeTOKa3HQxnj0hSLImZf%2BsV3Yn4FSeiUilH77QMLnVvJ7mvXD6SYHNb4kupP2Xkx63n%2Fk6mD9L2G%2BmggeXucKo4kPEHIJq4paPIFXLBPk9y8BBYPVbzEFbixQAnOo9bM0bnFq387v2Z0suou%2FTxCaNmw9pHFTwDvpOS6GUBGIISUHPM14lhXTfYl9ZD6yrM10DIwrJrTS2rrRkd64%2BVDPzczdY8AFq1GNjviLoMYJ9Eny%2BxZyeDlKu4nmVCfU5sb1068Akrfhphati1Fn%2B7IH0yXaPlAg3QOKCZjoWTjzA%2B0UZbMgzckESljgf11rjXZR3E1ZAhJ0ly14H%2FrDttZ0qJJr3j3LbwwsgB4M8DOZR3EDXdaLEGEHtnnTTtTarFyC9Gi9glZ2i8lUFaBb9tfKHzPLHwZMqFVahnopptws4ffHc9TvGo%2BvScmcQoLVu8kjHnJIQmanuJmFPlLh9TWiVJlfauNocJMCDPoeGdL6UXN0tA8BOC53WPOvw0xQDY5KLgeMEZkj%2B6W14IFH62aYUYpb0Hxi%2FSjhATB7lA0SigsYJh30UO%2FIYVGzxnQzWS%2FWr9NGVjzdT%2BzEL2so8lEy41sGYSywhWGPpFB4%2BIBLFlMX8OzD58fKzBjqmAaG%2FJJklSCe8He3wCEmJhHwWcOWzgSh%2FcF6qeWgzLkkyvwaOit2gxT2D%2BhApttAkVw1WYRTrA9B%2FJKM9or6ljVdmtcJrnPShj%2FzXjerSbokOFoZCs%2BShkChhBvNhhmoaGTeIsmpePBKBO8JjE9BkwasxZyMqNtBrxnpAspIveTbpsxaEULitHhe7ynqiSVigBfsn6HLR6jM09J2noIY%2BJjM1bzrMMcs%3D,,
YA6GFZXU,journalArticle,,"Hua, Zhu; Wei, Li",Bi- and Multilingual Language Acquisition,,,,,,,,6/27/2024 3:42,5/29/2025 12:59,,,,,,,en,,Zotero,,,C:\Users\damru\Zotero\storage\KBDNUJF6\Hua and Wei - Bi- and Multilingual Language Acquisition.pdf; ,https://d1wqtxts1xzle7.cloudfront.net/7559919/Bi_and_multilingual_acquisition0001-libre.pdf?1390852224=&response-content-disposition=inline%3B+filename%3DBi_and_Multilingual_Language_Acquisition.pdf&Expires=1719463337&Signature=gEFlAx47GJ0GiYGoHE03dr9S322QH7OWTJvH820UX0I6YIZqwab2~Rcc~3gK6zdR~Atzk3GuwFoTWeXCxYkA1t6zrh4YYesRw3hBKLHzQyS6aveSii18tEaAwSi9og84SLmnUrGZNG2ZI10QgJwyWk7nWaUDVdTGAmYd6votkTbVuH4pQ4RQ4aj7kmMmLtlnPvgroTtDqhXFq7VKieAFuIHvDqrjmfMdOfbeR0xAYsxYrEiGi-Y9LyTark02q~cI~4LVPQv7QCv2k4H4gOelT1LA4SKcqLWEgjt6WvHxSQb50d-R5fnIwpfjPReevAY9TTESRwvcmvOoI5GsCLSNlg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,
QGUBNMIH,journalArticle,2019,"Poeste, Meike; Müller, Natascha; Arnaus Gil, Laia","Code-mixing and language dominance: bilingual, trilingual and multilingual children compared",International Journal of Multilingualism,,"1479-0718, 1747-7530",10.1080/14790718.2019.1569017,https://www.tandfonline.com/doi/full/10.1080/14790718.2019.1569017,,10/2/2019,6/27/2024 3:35,5/29/2025 10:01,6/27/2024 3:35,459-491,4,16,International Journal of Multilingualism,,en,,DOI.org (Crossref),,,"C:\Users\damru\Zotero\storage\7875BKLK\Poeste et al. - 2019 - Code-mixing and language dominance bilingual, tri.pdf; ",https://www.romanistik.uni-wuppertal.de/fileadmin/romanistik/pdf/poeste_m-mueller_n-arnausgil_l19.pdf,,
6HIX4VDL,bookSection,2012,"Bernhardt, B. May; Stemberger, Joseph P.",19. Translation to Practice: Transcription of the Speech of Multilingual Children,19. Translation to Practice: Transcription of the Speech of Multilingual Children,978-1-84769-514-7,,,https://www.degruyter.com/document/doi/10.21832/9781847695147-023/pdf?licenseType=restricted,19. Translation to Practice: Transcription of the Speech of Multilingual Children was published in Multilingual Aspects of Speech Sound Disorders in Children on page 182.,2/20/2012,6/27/2024 3:35,5/29/2025 11:51,6/27/2024 3:35,182-190,,,,Multilingual Matters,en,De Gruyter expressly reserves the right to use all content for commercial text and data mining within the meaning of Section 44b of the German Copyright Act.,www.degruyter.com,DOI: 10.21832/9781847695147-023,,,,,
XF6I5UZX,journalArticle,,"Rolland, Thomas; Abad, Alberto; Cucchiarini, Catia; Strik, Helmer",Multilingual Transfer Learning for Children Automatic Speech Recognition,,,,,,"Despite recent advances in automatic speech recognition (ASR), the recognition of children’s speech still remains a significant challenge. This is mainly due to the high acoustic variability and the limited amount of available training data. The latter problem is particularly evident in languages other than English, which are usually less-resourced. In the current paper, we address children ASR in a number of less-resourced languages by combining several small-sized children speech corpora from these languages. In particular, we address the following research question: Does a novel two-step training strategy in which multilingual learning is followed by language-specific transfer learning outperform conventional single language/task training for children speech, as well as multilingual and transfer learning alone? Based on previous experimental results with English, we hypothesize that multilingual learning provides a better generalization of the underlying characteristics of children’s speech. Our results provide a positive answer to our research question, by showing that using transfer learning on top of a multilingual model for an unseen language outperforms conventional single language-specific learning.",,6/27/2024 3:32,6/27/2024 3:32,,,,,,,en,,Zotero,,,C:\Users\damru\Zotero\storage\GWFFPDYS\Rolland et al. - Multilingual Transfer Learning for Children Automa.pdf,,,
MGEF2RJR,journalArticle,2021,"Sullivan, Jessica; Mei, Michelle; Perfors, Andrew; Wojcik, Erica; Frank, Michael","SAYCam: A Large, Longitudinal Audiovisual Dataset Recorded From the Infant’s Perspective",Open Mind,,,10.1162/opmi_a_00039,,"We introduce a new resource: the SAYCam corpus. Infants aged 6–32 months wore a head-mounted camera for approximately 2 hr per week, over the course of approximately two-and-a-half years. The result is a large, naturalistic, longitudinal dataset of infant- and child-perspective videos. Over 200,000 words of naturalistic speech have already been transcribed. Similarly, the dataset is searchable using a number of criteria (e.g., age of participant, location, setting, objects present). The resulting dataset will be of broad use to psychologists, linguists, and computer scientists.",3/5/2021,6/27/2024 2:51,5/29/2025 12:58,,10-Jan,,5,Open Mind,,,,ResearchGate,,,"C:\Users\damru\Zotero\storage\A9VZN3TX\Sullivan et al. - 2021 - SAYCam A Large, Longitudinal Audiovisual Dataset .pdf; ; ",https://www.researchgate.net/publication/349840130_SAYCam_A_Large_Longitudinal_Audiovisual_Dataset_Recorded_From_the_Infant's_Perspective/fulltext/60948af5a6fdccaebd11e5f4/SAYCam-A-Large-Longitudinal-Audiovisual-Dataset-Recorded-From-the-Infants-Perspective.pdf; https://www.researchgate.net/publication/349840130_SAYCam_A_Large_Longitudinal_Audiovisual_Dataset_Recorded_From_the_Infant%27s_Perspective,,
F4TTW7GK,conferencePaper,2023,"Shi, Jiatong; Berrebbi, Dan; Chen, William; Hu, En-Pei; Huang, Wei-Ping; Chung, Ho-Lam; Chang, Xuankai; Li, Shang-Wen; Mohamed, Abdelrahman; Lee, Hung-yi; Watanabe, Shinji",ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,INTERSPEECH 2023,,,10.21437/Interspeech.2023-1316,https://www.isca-archive.org/interspeech_2023/shi23g_interspeech.html,"Speech processing Universal PERformance Benchmark (SUPERB) is a leaderboard to benchmark the performance of SelfSupervised Learning (SSL) models on various speech processing tasks. However, SUPERB largely considers English speech in its evaluation. This paper presents multilingual SUPERB (ML-SUPERB), covering 143 languages (ranging from highresource to endangered), and considering both automatic speech recognition and language identification. Following the concept of SUPERB, ML-SUPERB utilizes frozen SSL features and employs a simple framework for multilingual tasks by learning a shallow downstream model. Similar to the SUPERB benchmark, we find speech SSL models can significantly improve performance compared to FBANK features. Furthermore, we find that multilingual models do not always perform better than their monolingual counterparts. We will release ML-SUPERB as a challenge with organized datasets and reproducible training scripts for future multilingual representation research.",8/20/2023,6/26/2024 0:08,5/29/2025 12:58,6/26/2024 0:08,884-888,,,,ISCA,en,,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\7DLA9P9S\shi23g_interspeech.pdf; ,https://www.isca-archive.org/interspeech_2023/shi23g_interspeech.pdf,,
YQK9IGIS,preprint,2024,"Fan, Ruchao; Shankar, Natarajan Balaji; Alwan, Abeer",Benchmarking Children's ASR with Supervised and Self-supervised Speech Foundation Models,,,,,http://arxiv.org/abs/2406.10507,"Speech foundation models (SFMs) have achieved state-ofthe-art results for various speech tasks in supervised (e.g. Whisper) or self-supervised systems (e.g. WavLM). However, the performance of SFMs for child ASR has not been systematically studied. In addition, there is no benchmark for child ASR with standard evaluations, making the comparisons of novel ideas difficult. In this paper, we initiate and present a comprehensive benchmark on several child speech databases based on various SFMs (Whisper, Wav2vec2.0, HuBERT, and WavLM). Moreover, we investigate finetuning strategies by comparing various data augmentation and parameter-efficient finetuning (PEFT) methods. We observe that the behaviors of these methods are different when the model size increases. For example, PEFT matches the performance of full finetuning for large models but worse for small models. To stabilize finetuning using augmented data, we propose a perturbation invariant finetuning (PIF) loss as a regularization.1.",6/15/2024,6/24/2024 16:57,5/29/2025 12:59,6/24/2024 16:57,,,,,arXiv,en,,arXiv.org,"arXiv:2406.10507 [cs, eess]",,C:\Users\damru\Zotero\storage\GK3WZAGT\Fan et al. - 2024 - Benchmarking Children's ASR with Supervised and Se.pdf,,,Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing; Computer Science - Computation and Language
FSIBF7EG,book,2000,"Shobaki, Khaldoun; Hosom, John-Paul; Cole, Ronald",The OGI kids’ speech corpus and recognizers,,,,,,"We describe a corpus of children's speech, called the OGI Kids' Speech corpus, and a speaker- and vocabulary-independent recognition system trained and evaluated with these data. The corpus is composed of both prompted and spontaneous speech from 1100 children from kindergarten through grade 10. The prompted speech was presented as text appearing below an animated character (Baldi) that produced accurate visible speech synchronized with recorded prompts. The speech and text consists of isolated words, sentences, and digit strings. A phonetic recognizer was trained using an HMM/ANN framework, with training data taken from intervals of speech associated with phonetic segments in the isolated words in the corpus. Phonetic segments were derived using automatic phonetic alignment. To find out how well the recognizer is able to generalize to new words not found in the training set, we performed two test-set evaluations: one using a new set of utterances from the set of 205 words spoken in isolation (similar to the data used to train the recognizer) and one using words from the prompted sentences. Results were dramatically different (97.5% for isolated vs. 37.9% for words in sentences), and we explore methods that may be used to improve the recognizer's ability to generalize to new words.",10/16/2000,6/24/2024 16:54,5/29/2025 12:58,,,,,,,,,ResearchGate,Pages: 261 DOI: 10.21437/ICSLP.2000-800,,C:\Users\damru\Zotero\storage\BKE32NLX\Shobaki et al. - 2000 - The OGI kids’ speech corpus and recognizers.pdf; ; ,https://www.researchgate.net/profile/Ronald-Cole/publication/221488491_The_OGI_kids'_speech_corpus_and_recognizers/links/53f5f4a10cf2888a7491fd21/The-OGI-kids-speech-corpus-and-recognizers.pdf; https://www.researchgate.net/publication/221488491_The_OGI_kids%27_speech_corpus_and_recognizers,,
43PR6W33,conferencePaper,2023,"Radford, Alec; Kim, Jong Wook; Xu, Tao; Brockman, Greg; Mcleavey, Christine; Sutskever, Ilya",Robust Speech Recognition via Large-Scale Weak Supervision,Proceedings of the 40th International Conference on Machine Learning,,,,https://proceedings.mlr.press/v202/radford23a.html,"We study the capabilities of speech processing systems trained simply to predict large amounts of transcripts of audio on the internet. When scaled to 680,000 hours of multilingual and multitask supervision, the resulting models generalize well to standard benchmarks and are often competitive with prior fully supervised results without the need for any dataset specific fine-tuning. When compared to humans, the models approach their accuracy and robustness. We are releasing models and inference code to serve as a foundation for further work on robust speech processing.",7/3/2023,6/24/2024 16:44,6/24/2024 16:44,6/24/2024 16:44,28492-28518,,,,PMLR,en,,proceedings.mlr.press,ISSN: 2640-3498,,C:\Users\damru\Zotero\storage\TEGD6S3N\Radford et al. - 2023 - Robust Speech Recognition via Large-Scale Weak Sup.pdf,,,
8SI7Q9WH,conferencePaper,2021,"Li, Bo; Pang, Ruoming; Sainath, Tara N.; Gulati, Anmol; Zhang, Yu; Qin, James; Haghani, Parisa; Huang, W. Ronny; Ma, Min; Bai, Junwen",Scaling End-to-End Models for Large-Scale Multilingual ASR,2021 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),,,10.1109/ASRU51503.2021.9687871,https://ieeexplore.ieee.org/abstract/document/9687871,"Building ASR models across many languages is a challenging multi-task learning problem due to large variations and heavily unbalanced data. Existing work has shown positive transfer from high resource to low resource languages. However, degradations on high resource languages are commonly observed due to interference from the heterogeneous multilingual data and reduction in per-language capacity. We conduct a capacity study on a 15-language task, with the amount of data per language varying from 7.6K to 53.5K hours. We adopt GShard [1] to efficiently scale up to 10B parameters. Empirically, we find that (1) scaling the number of model parameters is an effective way to solve the capacity bottleneck - our 500M-param model already outperforms monolingual baselines and scaling it to 1B and 10B brought further quality gains; (2) larger models are not only more data efficient, but also more efficient in terms of training cost as measured in TPU days - the 1B-param model reaches the same accuracy at 34% of training time as the 500M-param model; (3) given a fixed capacity budget, adding depth works better than width and large encoders do better than large decoders; (4) with continuous training, they can be adapted to new languages and domains.",2021-12,6/24/2024 16:14,5/29/2025 10:02,6/24/2024 16:14,1011-1018,,,,,,,IEEE Xplore,,,C:\Users\damru\Zotero\storage\5A2U3Z3U\9687871.html; ; C:\Users\damru\Zotero\storage\WA88V2XE\Li et al. - 2021 - Scaling End-to-End Models for Large-Scale Multilin.pdf; ,https://ieeexplore.ieee.org/abstract/document/9687871; https://arxiv.org/pdf/2104.14830,,Data models; Training; Adaptation models; Buildings; Costs; Interference; large-scale; multilingual speech recognition; Performance gain
772SAVNP,bookSection,2021,"Rose, Yvan; Hedlund, Gregory","The Phonbank Database within Talkbank, and a Practical Overview of the Phon Program",,978-0-429-32090-3,,,,,2/18/2021,6/24/2024 15:42,5/29/2025 12:58,,228-246,,,,,,,ResearchGate,DOI: 10.4324/9780429320903-19,,"C:\Users\damru\Zotero\storage\K8KSTQLD\Rose and Hedlund - 2021 - The Phonbank Database within Talkbank, and a Pract.pdf; ; ",https://www.researchgate.net/profile/Yvan-Rose/publication/349435799_The_Phonbank_Database_within_Talkbank_and_a_Practical_Overview_of_the_Phon_Program/links/60898bed458515d315e2efe7/The-Phonbank-Database-within-Talkbank-and-a-Practical-Overview-of-the-Phon-Program.pdf; https://www.researchgate.net/profile/Yvan-Rose/publication/349435799_The_Phonbank_Database_within_Talkbank_and_a_Practical_Overview_of_the_Phon_Program/links/60898bed458515d315e2efe7/The-Phonbank-Database-within-Talkbank-and-a-Practical-Overview-of-the-Phon-Program.pdf,,
